Date,Threat Name,Temperature (°C),Precipitation (mm),Threat Type,Wildlife Affected,Severity
08 February,Flood,13,245,Natural,Medium,1
08 February,Landslide,42,649,Natural,Low,4
08 February,Deforestation,45,273,Human Made,High,6
08 February,Pollution,38,352,Human Made,Medium,8
08 February,Poaching,4,643,Human Made,Medium,1
09 February,Overgrazing,22,152,Human Made,Low,7
09 February,Overgrazing,32,396,Human Made,Medium,10
09 February,Overgrazing,5,597,Human Made,High,3
09 February,Overgrazing,3,626,Human Made,High,9
09 February,Disease,2,39,Natural,High,5
09 February,Pollution,2,317,Human Made,Medium,6
09 February,Storm,7,449,Natural,Low,6
09 February,Storm,47,451,Natural,Low,4
09 February,Earthquake,30,673,Natural,Medium,1
09 February,Storm,35,340,Natural,High,3
09 February,Lightning,6,209,Natural,Low,1
09 February,Poaching,31,21,Human Made,Low,2
09 February,Pollution,48,661,Human Made,High,4
09 February,Pollution,41,511,Human Made,Medium,3
09 February,Overgrazing,34,297,Human Made,Medium,4
09 February,Drought,2,27,Natural,Low,10
09 February,Poaching,21,239,Human Made,High,7
09 February,Poaching,23,498,Human Made,Medium,4
09 February,Overgrazing,16,41,Human Made,Medium,6
09 February,Drought,47,478,Natural,Medium,1
09 February,Landslide,48,217,Natural,High,6
09 February,Pollution,14,567,Human Made,Medium,3
09 February,Pollution,23,650,Human Made,Medium,8
09 February,Flood,19,484,Natural,Low,2
09 February,Landslide,49,576,Natural,Medium,10
09 February,Overgrazing,17,96,Human Made,Low,3
09 February,Earthquake,14,10,Natural,High,7
09 February,Poaching,17,545,Human Made,Low,3
09 February,Fire,29,108,Natural,High,5
09 February,Drought,34,430,Natural,Low,5
09 February,Storm,38,387,Natural,Low,2
09 February,Poaching,33,688,Human Made,Medium,7
09 February,Landslide,42,419,Natural,High,1
09 February,Lightning,8,123,Natural,High,6
09 February,Flood,37,535,Natural,High,1
09 February,Poaching,26,42,Human Made,High,6
09 February,Earthquake,24,489,Natural,Low,3
09 February,Fire,41,659,Natural,Medium,8
09 February,Fire,16,325,Natural,Medium,2
09 February,Overgrazing,49,328,Human Made,Low,4
09 February,Fire,35,170,Natural,Low,7
09 February,Landslide,38,174,Natural,High,4
09 February,Poaching,39,585,Human Made,Low,7
09 February,Drought,39,627,Natural,Medium,1
09 February,Landslide,36,404,Natural,Low,5
09 February,Lightning,20,451,Natural,Low,7
09 February,Pollution,26,40,Human Made,Low,9
09 February,Flood,48,566,Natural,Low,8
09 February,Fire,16,589,Natural,Medium,6
09 February,Flood,43,412,Natural,High,2
09 February,Landslide,47,44,Natural,High,5
09 February,Flood,31,165,Natural,High,6
09 February,Pollution,38,591,Human Made,Medium,6
09 February,Deforestation,28,35,Human Made,Low,1
09 February,Fire,18,657,Natural,Low,4
09 February,Flood,2,634,Natural,High,3
09 February,Flood,42,398,Natural,Medium,6
09 February,Flood,7,561,Natural,Low,9
09 February,Fire,2,545,Natural,Low,10
09 February,Flood,37,432,Natural,Medium,5
09 February,Deforestation,38,213,Human Made,Low,7
09 February,Earthquake,23,538,Natural,Low,1
09 February,Poaching,13,398,Human Made,Low,6
09 February,Disease,31,668,Natural,Low,3
09 February,Lightning,20,95,Natural,High,7
09 February,Landslide,38,675,Natural,High,7
09 February,Flood,25,693,Natural,Medium,6
09 February,Fire,13,648,Natural,High,5
09 February,Pollution,19,9,Human Made,Low,6
09 February,Disease,10,612,Natural,High,4
09 February,Lightning,15,159,Natural,Low,9
09 February,Flood,4,443,Natural,High,3
09 February,Poaching,17,257,Human Made,High,4
09 February,Overgrazing,24,367,Human Made,High,8
09 February,Drought,12,635,Natural,High,2
09 February,Earthquake,14,693,Natural,Medium,9
09 February,Drought,13,253,Natural,High,4
09 February,Poaching,20,586,Human Made,Low,6
09 February,Storm,11,508,Natural,Low,5
09 February,Fire,2,72,Natural,High,8
09 February,Deforestation,19,258,Human Made,Low,5
09 February,Overgrazing,8,63,Human Made,High,10
10 February,Drought,6,151,Natural,Medium,5
10 February,Pollution,41,126,Human Made,High,8
10 February,Overgrazing,21,537,Human Made,Medium,4
10 February,Drought,26,190,Natural,Low,4
10 February,Flood,45,660,Natural,High,5
10 February,Drought,42,135,Natural,High,2
10 February,Overgrazing,38,252,Human Made,Medium,1
10 February,Overgrazing,50,544,Human Made,Medium,6
10 February,Lightning,25,563,Natural,Medium,8
10 February,Fire,40,606,Natural,Low,10
10 February,Fire,50,511,Natural,Medium,9
10 February,Storm,45,538,Natural,Medium,6
10 February,Disease,32,188,Natural,High,4
10 February,Overgrazing,18,276,Human Made,High,7
10 February,Lightning,15,274,Natural,Medium,5
10 February,Flood,33,603,Natural,Low,10
10 February,Overgrazing,23,5,Human Made,Low,1
10 February,Drought,26,452,Natural,Medium,7
10 February,Overgrazing,39,326,Human Made,Low,3
10 February,Landslide,11,14,Natural,Medium,4
10 February,Poaching,27,431,Human Made,High,3
10 February,Overgrazing,22,497,Human Made,Medium,10
10 February,Earthquake,43,208,Natural,High,9
10 February,Flood,24,597,Natural,Medium,6
10 February,Poaching,33,552,Human Made,Medium,2
10 February,Flood,13,180,Natural,Low,3
10 February,Fire,26,45,Natural,Low,5
10 February,Flood,42,3,Natural,High,2
10 February,Disease,8,619,Natural,High,7
10 February,Earthquake,34,599,Natural,Low,8
10 February,Disease,9,165,Natural,Low,1
10 February,Lightning,30,545,Natural,Medium,9
10 February,Earthquake,7,109,Natural,Medium,9
10 February,Poaching,2,523,Human Made,High,7
10 February,Earthquake,48,169,Natural,Low,4
10 February,Earthquake,40,595,Natural,Medium,10
10 February,Deforestation,34,465,Human Made,Low,4
10 February,Earthquake,4,551,Natural,Low,10
10 February,Pollution,39,477,Human Made,High,8
10 February,Poaching,14,508,Human Made,High,1
10 February,Overgrazing,25,229,Human Made,Medium,4
10 February,Poaching,12,2,Human Made,High,10
10 February,Earthquake,1,373,Natural,Medium,7
10 February,Flood,21,463,Natural,Medium,6
10 February,Overgrazing,9,271,Human Made,High,2
10 February,Fire,8,10,Natural,High,2
10 February,Earthquake,25,211,Natural,High,8
10 February,Poaching,28,129,Human Made,High,1
10 February,Deforestation,1,469,Human Made,Low,5
10 February,Deforestation,16,303,Human Made,High,1
10 February,Deforestation,46,94,Human Made,Low,1
10 February,Fire,38,316,Natural,Medium,4
10 February,Overgrazing,44,95,Human Made,High,4
10 February,Pollution,16,68,Human Made,Medium,8
10 February,Lightning,50,461,Natural,Low,2
10 February,Landslide,36,427,Natural,High,10
10 February,Disease,39,584,Natural,High,5
10 February,Storm,5,44,Natural,High,3
10 February,Poaching,3,202,Human Made,High,9
10 February,Storm,45,106,Natural,Medium,7
10 February,Drought,15,144,Natural,High,10
10 February,Earthquake,27,206,Natural,Medium,3
10 February,Pollution,45,573,Human Made,High,6
10 February,Lightning,3,131,Natural,High,1
10 February,Drought,5,79,Natural,Low,3
10 February,Overgrazing,7,53,Human Made,Medium,9
10 February,Storm,16,48,Natural,Medium,3
10 February,Overgrazing,11,324,Human Made,High,2
10 February,Deforestation,29,445,Human Made,Medium,2
10 February,Storm,7,533,Natural,High,5
10 February,Flood,10,390,Natural,High,1
10 February,Disease,41,700,Natural,High,4
10 February,Overgrazing,18,698,Human Made,Low,3
10 February,Earthquake,28,342,Natural,Medium,2
10 February,Flood,18,396,Natural,Medium,6
10 February,Fire,42,323,Natural,Low,10
10 February,Disease,25,556,Natural,High,2
10 February,Landslide,43,327,Natural,High,4
10 February,Earthquake,18,609,Natural,Medium,2
10 February,Fire,5,615,Natural,Medium,2
10 February,Pollution,28,593,Human Made,Medium,4
10 February,Lightning,47,510,Natural,High,2
11 February,Lightning,43,593,Natural,High,10
11 February,Drought,20,204,Natural,Medium,7
11 February,Overgrazing,18,358,Human Made,Medium,6
11 February,Storm,50,688,Natural,Medium,2
11 February,Pollution,28,327,Human Made,High,7
11 February,Poaching,13,29,Human Made,High,6
11 February,Earthquake,14,237,Natural,Medium,1
11 February,Earthquake,48,246,Natural,Medium,7
11 February,Landslide,16,621,Natural,High,5
11 February,Earthquake,6,119,Natural,Medium,1
11 February,Poaching,23,376,Human Made,Low,8
11 February,Earthquake,38,230,Natural,High,8
11 February,Lightning,12,431,Natural,Medium,9
11 February,Pollution,21,92,Human Made,Low,1
11 February,Overgrazing,17,358,Human Made,Medium,8
11 February,Poaching,4,488,Human Made,High,9
11 February,Landslide,29,287,Natural,High,6
11 February,Flood,30,425,Natural,Medium,8
11 February,Earthquake,41,538,Natural,Medium,9
11 February,Pollution,50,464,Human Made,High,3
11 February,Pollution,42,692,Human Made,Low,10
11 February,Flood,22,31,Natural,Medium,2
11 February,Fire,28,326,Natural,High,5
11 February,Fire,1,190,Natural,Medium,8
11 February,Flood,15,474,Natural,Medium,3
11 February,Landslide,31,67,Natural,Low,4
11 February,Storm,29,224,Natural,Low,3
11 February,Landslide,1,137,Natural,Medium,4
11 February,Flood,4,213,Natural,High,3
11 February,Pollution,43,304,Human Made,Low,8
11 February,Overgrazing,3,648,Human Made,Medium,10
11 February,Storm,4,622,Natural,High,6
11 February,Fire,12,491,Natural,Low,1
11 February,Pollution,25,104,Human Made,High,5
11 February,Earthquake,28,175,Natural,Low,4
11 February,Earthquake,18,314,Natural,Low,7
11 February,Earthquake,20,225,Natural,Medium,9
11 February,Earthquake,30,504,Natural,Medium,1
11 February,Poaching,19,302,Human Made,Medium,10
11 February,Drought,49,547,Natural,Low,6
11 February,Pollution,11,435,Human Made,Medium,2
11 February,Deforestation,35,21,Human Made,High,6
11 February,Storm,4,51,Natural,Low,1
11 February,Lightning,42,457,Natural,Low,1
11 February,Lightning,16,522,Natural,High,5
11 February,Storm,4,91,Natural,Low,2
11 February,Drought,18,251,Natural,Low,9
11 February,Deforestation,43,606,Human Made,Low,5
11 February,Overgrazing,33,510,Human Made,Low,9
11 February,Storm,28,345,Natural,Medium,4
11 February,Earthquake,10,667,Natural,High,7
11 February,Disease,40,106,Natural,Low,5
11 February,Deforestation,26,413,Human Made,Low,4
11 February,Deforestation,41,37,Human Made,High,6
11 February,Earthquake,1,491,Natural,High,1
11 February,Storm,37,547,Natural,High,1
11 February,Pollution,4,360,Human Made,High,1
11 February,Poaching,9,565,Human Made,High,7
11 February,Lightning,12,138,Natural,Medium,4
11 February,Drought,10,49,Natural,High,1
11 February,Storm,39,184,Natural,Low,7
11 February,Lightning,36,241,Natural,Medium,5
11 February,Earthquake,34,71,Natural,Low,5
11 February,Fire,28,58,Natural,Low,7
11 February,Lightning,39,290,Natural,Low,6
11 February,Earthquake,22,56,Natural,Low,2
11 February,Poaching,34,267,Human Made,Low,10
11 February,Overgrazing,5,341,Human Made,High,3
11 February,Overgrazing,33,208,Human Made,Low,1
11 February,Drought,37,128,Natural,Medium,6
11 February,Drought,44,191,Natural,High,3
11 February,Poaching,23,182,Human Made,Low,6
11 February,Deforestation,33,311,Human Made,Low,9
11 February,Disease,7,471,Natural,Low,3
11 February,Overgrazing,27,494,Human Made,High,8
11 February,Disease,13,281,Natural,Medium,3
11 February,Storm,16,136,Natural,Medium,3
11 February,Pollution,12,300,Human Made,Low,2
11 February,Overgrazing,34,279,Human Made,Medium,6
11 February,Overgrazing,13,557,Human Made,High,8
11 February,Poaching,40,677,Human Made,Medium,8
11 February,Fire,3,30,Natural,Medium,9
12 February,Flood,6,534,Natural,Low,3
12 February,Storm,17,579,Natural,Low,10
12 February,Earthquake,28,695,Natural,Low,7
12 February,Landslide,50,90,Natural,Low,7
12 February,Landslide,26,396,Natural,Low,9
12 February,Deforestation,14,646,Human Made,Low,6
12 February,Disease,17,359,Natural,Medium,9
12 February,Earthquake,35,186,Natural,Medium,7
12 February,Fire,41,209,Natural,Low,2
12 February,Storm,12,348,Natural,Medium,5
12 February,Landslide,7,255,Natural,High,3
12 February,Overgrazing,39,100,Human Made,Low,7
12 February,Overgrazing,3,473,Human Made,Low,9
12 February,Lightning,7,289,Natural,Low,9
12 February,Overgrazing,12,370,Human Made,Medium,5
12 February,Lightning,16,404,Natural,Low,2
12 February,Landslide,34,342,Natural,Low,2
12 February,Lightning,25,639,Natural,Medium,2
12 February,Storm,15,154,Natural,High,10
12 February,Storm,3,76,Natural,Medium,7
12 February,Pollution,13,698,Human Made,Low,5
12 February,Drought,4,106,Natural,Medium,6
12 February,Overgrazing,27,675,Human Made,Low,2
12 February,Landslide,21,164,Natural,High,3
12 February,Disease,16,589,Natural,High,4
12 February,Poaching,14,436,Human Made,High,7
12 February,Earthquake,22,431,Natural,Low,6
12 February,Lightning,6,612,Natural,Medium,7
12 February,Poaching,26,160,Human Made,High,7
12 February,Flood,17,29,Natural,Low,2
12 February,Flood,19,212,Natural,Low,3
12 February,Overgrazing,32,0,Human Made,High,6
12 February,Earthquake,19,459,Natural,High,5
12 February,Lightning,46,426,Natural,Medium,8
12 February,Drought,29,500,Natural,Medium,5
12 February,Earthquake,41,603,Natural,High,9
12 February,Fire,34,424,Natural,High,3
12 February,Poaching,37,106,Human Made,Medium,6
12 February,Deforestation,21,18,Human Made,High,5
12 February,Earthquake,11,51,Natural,High,5
12 February,Flood,13,41,Natural,High,10
12 February,Overgrazing,21,85,Human Made,Low,6
12 February,Overgrazing,47,371,Human Made,Low,8
12 February,Flood,46,86,Natural,High,10
12 February,Pollution,10,293,Human Made,High,6
12 February,Pollution,13,544,Human Made,High,1
12 February,Drought,10,610,Natural,High,7
12 February,Fire,2,544,Natural,Medium,8
12 February,Landslide,38,553,Natural,Medium,5
12 February,Drought,23,642,Natural,Medium,8
12 February,Storm,11,397,Natural,Low,4
12 February,Pollution,30,614,Human Made,Medium,2
12 February,Landslide,50,98,Natural,High,9
12 February,Disease,49,573,Natural,Low,9
12 February,Earthquake,26,0,Natural,Low,9
12 February,Landslide,38,493,Natural,High,9
12 February,Pollution,28,319,Human Made,Medium,3
12 February,Overgrazing,34,278,Human Made,Medium,8
12 February,Fire,22,499,Natural,High,8
12 February,Earthquake,2,371,Natural,High,5
12 February,Disease,50,684,Natural,Low,3
12 February,Lightning,13,57,Natural,High,8
12 February,Deforestation,25,70,Human Made,Low,9
12 February,Deforestation,13,295,Human Made,Medium,4
12 February,Overgrazing,14,39,Human Made,Low,4
12 February,Lightning,17,317,Natural,Medium,1
12 February,Drought,12,257,Natural,Low,7
12 February,Earthquake,42,51,Natural,Medium,6
12 February,Poaching,31,34,Human Made,High,10
12 February,Pollution,1,234,Human Made,Low,6
12 February,Lightning,7,55,Natural,Medium,6
12 February,Poaching,5,45,Human Made,Medium,1
12 February,Fire,39,430,Natural,High,3
12 February,Deforestation,12,382,Human Made,Low,4
12 February,Pollution,28,601,Human Made,High,10
12 February,Flood,39,37,Natural,Low,5
12 February,Drought,8,698,Natural,High,1
12 February,Poaching,10,572,Human Made,Medium,5
12 February,Storm,5,545,Natural,Medium,3
12 February,Poaching,17,594,Human Made,Medium,1
12 February,Pollution,20,37,Human Made,Medium,6
12 February,Pollution,42,351,Human Made,High,5
13 February,Lightning,47,607,Natural,Low,8
13 February,Lightning,16,506,Natural,Low,2
13 February,Fire,50,590,Natural,High,3
13 February,Earthquake,47,653,Natural,Low,10
13 February,Storm,17,18,Natural,High,4
13 February,Poaching,28,9,Human Made,High,3
13 February,Fire,29,292,Natural,Medium,8
13 February,Disease,15,572,Natural,Low,4
13 February,Storm,35,51,Natural,Low,4
13 February,Disease,47,498,Natural,Low,4
13 February,Deforestation,4,317,Human Made,Medium,10
13 February,Poaching,16,400,Human Made,Low,10
13 February,Lightning,33,203,Natural,Medium,3
13 February,Pollution,15,511,Human Made,Medium,10
13 February,Pollution,25,100,Human Made,High,3
13 February,Poaching,5,5,Human Made,High,3
13 February,Disease,2,231,Natural,High,6
13 February,Overgrazing,34,548,Human Made,Medium,5
13 February,Deforestation,27,115,Human Made,Medium,5
13 February,Deforestation,11,651,Human Made,High,3
13 February,Fire,11,100,Natural,Low,10
13 February,Overgrazing,10,386,Human Made,High,5
13 February,Drought,28,653,Natural,Low,9
13 February,Drought,10,392,Natural,Medium,5
13 February,Pollution,49,639,Human Made,Low,8
13 February,Overgrazing,20,555,Human Made,High,5
13 February,Flood,32,1,Natural,Low,7
13 February,Disease,50,237,Natural,Medium,6
13 February,Poaching,9,317,Human Made,Low,6
13 February,Fire,47,508,Natural,Medium,1
13 February,Drought,16,668,Natural,Low,5
13 February,Lightning,33,86,Natural,Medium,1
13 February,Flood,48,685,Natural,High,3
13 February,Earthquake,5,5,Natural,Low,10
13 February,Deforestation,29,228,Human Made,High,4
13 February,Poaching,6,65,Human Made,Low,3
13 February,Overgrazing,19,681,Human Made,High,3
13 February,Pollution,11,442,Human Made,High,7
13 February,Overgrazing,7,164,Human Made,High,2
13 February,Earthquake,38,392,Natural,High,7
13 February,Lightning,26,572,Natural,Low,8
13 February,Flood,15,208,Natural,Low,10
13 February,Deforestation,2,60,Human Made,Medium,6
13 February,Landslide,3,520,Natural,Low,7
13 February,Flood,21,211,Natural,Low,9
13 February,Overgrazing,13,467,Human Made,High,8
13 February,Poaching,41,357,Human Made,Low,10
13 February,Flood,25,694,Natural,Low,7
13 February,Disease,38,469,Natural,Low,7
13 February,Drought,39,144,Natural,High,6
13 February,Deforestation,3,491,Human Made,High,1
13 February,Landslide,11,661,Natural,Medium,6
13 February,Lightning,21,489,Natural,Low,6
13 February,Pollution,6,220,Human Made,High,6
13 February,Drought,9,575,Natural,Medium,2
13 February,Flood,3,96,Natural,Medium,6
13 February,Landslide,43,349,Natural,Low,2
13 February,Landslide,18,262,Natural,Medium,6
13 February,Deforestation,21,19,Human Made,High,5
13 February,Landslide,5,3,Natural,Low,4
13 February,Flood,45,398,Natural,High,6
13 February,Lightning,21,149,Natural,Medium,4
13 February,Overgrazing,39,127,Human Made,High,4
13 February,Deforestation,38,531,Human Made,High,5
13 February,Pollution,41,76,Human Made,High,8
13 February,Poaching,34,108,Human Made,High,10
13 February,Overgrazing,35,55,Human Made,High,2
13 February,Storm,10,41,Natural,Medium,1
13 February,Flood,21,192,Natural,Medium,10
13 February,Overgrazing,29,406,Human Made,Low,9
13 February,Fire,7,514,Natural,Medium,3
13 February,Drought,37,111,Natural,Low,10
13 February,Deforestation,6,540,Human Made,Medium,6
13 February,Overgrazing,48,362,Human Made,Medium,8
13 February,Overgrazing,39,514,Human Made,Medium,6
13 February,Drought,25,191,Natural,Low,4
13 February,Disease,33,501,Natural,High,7
13 February,Poaching,24,124,Human Made,High,9
13 February,Pollution,14,557,Human Made,Medium,7
13 February,Storm,8,488,Natural,High,7
13 February,Overgrazing,42,409,Human Made,Low,10
13 February,Lightning,34,392,Natural,High,5
14 February,Disease,46,698,Natural,Medium,2
14 February,Disease,35,233,Natural,Medium,8
14 February,Pollution,50,333,Human Made,Low,2
14 February,Storm,2,171,Natural,High,4
14 February,Overgrazing,29,407,Human Made,Medium,1
14 February,Overgrazing,27,341,Human Made,Low,10
14 February,Lightning,20,501,Natural,Low,4
14 February,Pollution,4,467,Human Made,High,10
14 February,Fire,18,241,Natural,Low,3
14 February,Lightning,12,661,Natural,Medium,8
14 February,Drought,8,213,Natural,Low,6
14 February,Earthquake,15,634,Natural,High,2
14 February,Overgrazing,35,103,Human Made,Low,4
14 February,Overgrazing,40,171,Human Made,Medium,7
14 February,Poaching,35,425,Human Made,Medium,1
14 February,Fire,12,71,Natural,High,10
14 February,Disease,49,656,Natural,Low,4
14 February,Fire,25,676,Natural,High,5
14 February,Deforestation,50,500,Human Made,High,7
14 February,Deforestation,27,631,Human Made,High,10
14 February,Disease,27,529,Natural,Low,7
14 February,Pollution,44,148,Human Made,Medium,7
14 February,Drought,34,209,Natural,High,3
14 February,Poaching,2,496,Human Made,Low,10
14 February,Pollution,15,90,Human Made,High,8
14 February,Earthquake,7,374,Natural,High,1
14 February,Flood,19,258,Natural,High,1
14 February,Pollution,22,384,Human Made,Medium,1
14 February,Disease,23,252,Natural,High,10
14 February,Overgrazing,43,381,Human Made,Medium,2
14 February,Fire,19,123,Natural,High,4
14 February,Storm,32,185,Natural,Medium,7
14 February,Pollution,1,556,Human Made,Medium,3
14 February,Earthquake,9,396,Natural,High,8
14 February,Pollution,6,409,Human Made,Low,9
14 February,Landslide,25,639,Natural,High,9
14 February,Storm,18,182,Natural,Low,7
14 February,Disease,48,130,Natural,Medium,7
14 February,Flood,40,342,Natural,Medium,8
14 February,Drought,18,534,Natural,Medium,3
14 February,Storm,19,404,Natural,High,9
14 February,Storm,46,468,Natural,High,10
14 February,Overgrazing,45,441,Human Made,High,9
14 February,Earthquake,15,632,Natural,High,5
14 February,Fire,44,243,Natural,Low,4
14 February,Pollution,28,680,Human Made,Low,1
14 February,Drought,2,165,Natural,Low,2
14 February,Storm,25,401,Natural,High,8
14 February,Poaching,33,328,Human Made,High,3
14 February,Landslide,48,88,Natural,Medium,6
14 February,Earthquake,46,117,Natural,Low,6
14 February,Drought,3,37,Natural,Low,6
14 February,Deforestation,20,324,Human Made,High,1
14 February,Poaching,25,8,Human Made,Low,7
14 February,Flood,43,212,Natural,Low,1
14 February,Flood,43,150,Natural,Medium,5
14 February,Overgrazing,19,416,Human Made,Low,8
14 February,Overgrazing,7,29,Human Made,High,4
14 February,Landslide,22,160,Natural,Low,3
14 February,Drought,17,143,Natural,Low,10
14 February,Earthquake,4,516,Natural,High,8
14 February,Flood,47,533,Natural,High,5
14 February,Storm,44,210,Natural,Low,5
14 February,Disease,3,199,Natural,Low,8
14 February,Overgrazing,17,247,Human Made,Low,3
14 February,Fire,49,439,Natural,High,5
14 February,Fire,44,362,Natural,High,4
14 February,Lightning,18,417,Natural,Low,7
14 February,Pollution,1,57,Human Made,High,7
14 February,Landslide,26,180,Natural,Medium,9
14 February,Flood,26,385,Natural,High,1
14 February,Storm,19,100,Natural,High,5
14 February,Earthquake,15,283,Natural,High,5
14 February,Disease,1,415,Natural,High,3
14 February,Overgrazing,2,68,Human Made,Medium,6
14 February,Disease,3,387,Natural,Low,3
14 February,Poaching,38,118,Human Made,Low,10
14 February,Fire,44,312,Natural,Low,1
14 February,Disease,10,608,Natural,High,4
14 February,Disease,45,689,Natural,Low,9
14 February,Lightning,3,523,Natural,Medium,6
14 February,Overgrazing,4,637,Human Made,High,3
15 February,Disease,28,203,Natural,Low,3
15 February,Pollution,27,496,Human Made,Medium,9
15 February,Storm,18,604,Natural,High,6
15 February,Lightning,27,646,Natural,High,2
15 February,Fire,19,546,Natural,High,2
15 February,Pollution,12,630,Human Made,Medium,1
15 February,Fire,43,411,Natural,High,9
15 February,Pollution,31,181,Human Made,Low,10
15 February,Poaching,13,188,Human Made,High,6
15 February,Drought,6,679,Natural,High,2
15 February,Fire,32,39,Natural,Medium,8
15 February,Pollution,5,418,Human Made,Medium,9
15 February,Fire,12,189,Natural,Medium,1
15 February,Pollution,19,247,Human Made,Low,2
15 February,Landslide,13,607,Natural,High,1
15 February,Drought,4,377,Natural,High,9
15 February,Deforestation,35,580,Human Made,Low,4
15 February,Landslide,12,163,Natural,High,1
15 February,Overgrazing,2,411,Human Made,Low,9
15 February,Landslide,30,526,Natural,High,9
15 February,Disease,46,39,Natural,Medium,10
15 February,Landslide,33,159,Natural,Low,3
15 February,Landslide,42,662,Natural,Low,8
15 February,Storm,23,13,Natural,High,2
15 February,Fire,20,446,Natural,Low,9
15 February,Poaching,48,103,Human Made,Medium,6
15 February,Deforestation,13,650,Human Made,Low,3
15 February,Earthquake,50,28,Natural,High,1
15 February,Drought,28,88,Natural,Low,7
15 February,Disease,16,354,Natural,High,8
15 February,Lightning,30,302,Natural,High,4
15 February,Landslide,47,16,Natural,Medium,5
15 February,Storm,11,365,Natural,High,4
15 February,Pollution,29,593,Human Made,Low,4
15 February,Storm,49,338,Natural,Low,1
15 February,Pollution,40,435,Human Made,High,3
15 February,Flood,1,642,Natural,Medium,10
15 February,Drought,14,57,Natural,High,3
15 February,Overgrazing,44,133,Human Made,Medium,1
15 February,Fire,35,282,Natural,Low,8
15 February,Fire,33,357,Natural,Medium,1
15 February,Fire,47,231,Natural,Medium,10
15 February,Pollution,32,565,Human Made,Medium,1
15 February,Overgrazing,49,655,Human Made,High,1
15 February,Landslide,11,672,Natural,High,7
15 February,Poaching,41,201,Human Made,Medium,4
15 February,Poaching,49,125,Human Made,Low,1
